Index,Beta _values_enet,Beta _values_ridge,Beta _values_lasso,Beta _values_random forest
X7,0.007766253,0.006011901,0.007795285,0.003638237
X11,0.006018255,0.003434714,0.006022807,0.006515443
X158,0.005564492,0.004678395,0.005590272,0.006419767
X64,0.003607608,0.003845631,0.003616712,0.002134217
X131,0.003513845,0.002998591,0.003525266,0.005039371
X99,0.003054461,0.002251595,0.003059176,0.008845848
X26,0.002953081,0.003537915,0.002960587,0.004013604
X4,0.00291723,0.001034155,0.002943023,0.003887296
X92,0.002799055,0.003236272,0.002808196,0.006119292
X51,0.0026917,0.00340329,0.00270906,0.004119108
X49,0.002630046,0.002487715,0.002638747,0.003875745
X72,0.002410765,0.002966941,0.002413056,0.004171709
X170,0.002156161,0.003307781,0.002158111,0.006316056
X127,0.002087919,0.002950138,0.002094232,0.010175361
X108,0.00192666,0.002909489,0.001929965,0.001805183
X112,0.001884244,0.002174635,0.001885681,0.008084198
X102,0.001731108,0.002742554,0.001733446,0.007144653
X44,0.001705149,0.002101368,0.001705219,0.003396873
X137,0.001687571,0.001804874,0.0016872,0.002675132
X15,0.001574329,0.001578451,0.001577814,0.004796939
X59,0.001449642,0.000900627,0.001456874,0.008512559
X140,0.001442854,0.001501627,0.00144991,0.007752971
X68,0.001382842,0.00207029,0.001383189,0.004646282
X174,0.001222304,0.002836803,0.00122464,0.004333396
X161,0.001196828,0.001328334,0.001199332,0.006148699
X160,0.001094533,0.000618474,0.001101077,0.004139804
X148,0.001044892,0.00193843,0.00104828,0.002051692
X58,0.001042312,0.001590214,0.001037546,0.005363244
X120,0.001015635,0.001541717,0.001025713,0.004892022
X113,0.001006,0.001476734,0.001007176,0.009180723
X80,0.000980052,0.001382944,0.000978484,0.00307078
X89,0.000974469,0.00177108,0.000976726,0.003489751
X132,0.000903282,0.001673476,0.000899299,0.003253497
X85,0.000899217,0.001819229,0.000901783,0.003805253
X22,0.000828388,0.000445848,0.000828542,0.004680977
X3,0.000827928,0.001971165,0.000821806,0.005809197
X34,0.000809947,0.000845365,0.000811167,0.006029498
X165,0.000757184,0.001022181,0.00075825,0.002672408
X121,0.00068593,0.000636987,0.000682319,0.008034391
X39,0.000634397,0.00122529,0.0006321,0.005065829
X135,0.000556676,0.00165739,0.00055909,0.00105518
X94,0.000539394,0.001797737,0.000541854,0.004037082
X28,0.000517411,0.00112312,0.000518945,0.007536248
X152,0.000506249,0.001663759,0.000503761,0.004741766
X30,0.000427147,0.001196528,0.0004282,0.00897458
X118,0.000402924,0.000849997,0.000404293,0.003669435
X141,0.000399982,0.000300508,0.000395506,0.003970166
X21,0.000396376,0.000755998,0.000394055,0.007192186
