"","thrs","FPR","TPR","group"
"1",0,0.308017898173903,1,"train"
"2",0.01,0.182851614463659,1,"train"
"3",0.02,0.142580723182973,1,"train"
"4",0.03,0.121417341879308,1,"train"
"5",0.04,0.103881968799129,1,"train"
"6",0.05,0.0923932760914258,1,"train"
"7",0.06,0.0813883178135204,1,"train"
"8",0.07,0.070867093965413,1,"train"
"9",0.08,0.0636110775184424,1,"train"
"10",0.09,0.0556294594267747,1,"train"
"11",0.1,0.0483734429798041,1,"train"
"12",0.11,0.0437779658967227,1,"train"
"13",0.12,0.0386987543838433,1,"train"
"14",0.13,0.0331358084411658,1,"train"
"15",0.14,0.0281775305357359,1,"train"
"16",0.15,0.0244285887048011,1,"train"
"17",0.16,0.0208005804813158,1,"train"
"18",0.17,0.0174144394727295,1,"train"
"19",0.18,0.0153585681460878,1,"train"
"20",0.19,0.0130608296045471,1,"train"
"21",0.2,0.0112468254928045,1,"train"
"22",0.21,0.00919095416616278,1,"train"
"23",0.22,0.00786068448421816,1,"train"
"24",0.23,0.00640948119482404,1,"train"
"25",0.24,0.00532107872777845,1,"train"
"26",0.25,0.00447454347563188,1,"train"
"27",0.26,0.00302334018623776,1,"train"
"28",0.27,0.00217680493409118,1,"train"
"29",0.28,0.00145120328939412,1,"train"
"30",0.29,0.000846535252146572,1,"train"
"31",0.3,0.000725601644697061,1,"train"
"32",0.31,0.000604668037247551,1,"train"
"33",0.32,0.00024186721489902,1,"train"
"34",0.33,0,1,"train"
"35",0.34,0,1,"train"
"36",0.35,0,1,"train"
"37",0.36,0,1,"train"
"38",0.37,0,1,"train"
"39",0.38,0,1,"train"
"40",0.39,0,1,"train"
"41",0.4,0,1,"train"
"42",0.41,0,1,"train"
"43",0.42,0,1,"train"
"44",0.43,0,1,"train"
"45",0.44,0,1,"train"
"46",0.45,0,1,"train"
"47",0.46,0,1,"train"
"48",0.47,0,1,"train"
"49",0.48,0,1,"train"
"50",0.49,0,1,"train"
"51",0.5,0,1,"train"
"52",0.51,0,1,"train"
"53",0.52,0,1,"train"
"54",0.53,0,1,"train"
"55",0.54,0,1,"train"
"56",0.55,0,1,"train"
"57",0.56,0,1,"train"
"58",0.57,0,1,"train"
"59",0.58,0,1,"train"
"60",0.59,0,0.999519461797213,"train"
"61",0.6,0,0.999519461797213,"train"
"62",0.61,0,0.999519461797213,"train"
"63",0.62,0,0.999519461797213,"train"
"64",0.63,0,0.999519461797213,"train"
"65",0.64,0,0.998558385391639,"train"
"66",0.65,0,0.997116770783277,"train"
"67",0.66,0,0.994714079769342,"train"
"68",0.67,0,0.993753003363767,"train"
"69",0.68,0,0.992311388755406,"train"
"70",0.69,0,0.990869774147045,"train"
"71",0.7,0,0.988467083133109,"train"
"72",0.71,0,0.987025468524748,"train"
"73",0.72,0,0.985583853916386,"train"
"74",0.73,0,0.983661701105238,"train"
"75",0.74,0,0.981259010091302,"train"
"76",0.75,0,0.97837578087458,"train"
"77",0.76,0,0.973570398846708,"train"
"78",0.77,0,0.967323402210476,"train"
"79",0.78,0,0.960115329168669,"train"
"80",0.79,0,0.956751561749159,"train"
"81",0.8,0,0.948101874098991,"train"
